1632
Catapult Turtle|YGLD-ENA08
Bonding - DHO|LEDU-EN039
Bone Temple Block|RGBT-EN077
Boo-Boo Game|LIOV-EN079
Booby Trap E|WIRA-EN013
Boot-Up Order - Gear Force|FIGA-EN004
Born from Draconis|GEIM-EN044
Born from Draconis|BLRR-EN017
Butterflyoke|BPW2-EN093
Butterflyoke|WGRT-EN093
Butterspy Protection|BPW2-EN097
Butterspy Protection|WGRT-EN097
Bye Bye Damage|MP20-EN202
Card of Last Will|LC04-EN003
Cemetary Bomb|SOD-EN059
Chain Destruction|YGLD-ENB38
Chain Hole|MP20-EN083
Chthonian Blast|BPW2-EN086
Chthonian Blast|WGRT-EN086
Confusion Chaff|DP08-EN026
Conscription|BPW2-EN085
Conscription|WGRT-EN085
Counter Gem|DP07-EN024
Covering Fire|BPW2-EN084
Covering Fire|WGRT-EN084
Crush Card Virus|DPKB-EN039
D.D. Dynamite|DR3-EN177
Dances with Beasts|MP20-EN203
Dark Renewal|SBC1-ENG19
Dark Renewal|SBC1-ENG19
Dark Renewal|LEDD-ENA30
Dark Renewal|YGLD-ENB00
Dark Scheme|SDGU-EN031
Dark Scorpion Combination|DCR-EN098
Dark Scorpion Combination|DCR-EN098
Dark Scorpion Combination|DR1-EN260
Dark Spirit of the Silent|RP02-EN044
Dark Spirit of the Silent|DB2-EN013
Dark Spirit of the Silent|LON-079
Darkfall|DL16-EN020
Darkfall|STBL-EN080
Destined Rivals|MP20-EN248
Destruction Sword Flash|CORE-ENSE4
Dimension Slice|BPW2-EN094
Dimension Slice|WGRT-EN094
Draw Discharge|MP20-EN132
Dust Tornado|YS15-END18
Escape of the Unchained|MP20-EN191
Evil Eye Defeat|MP20-EN242
Get Out!|MP20-EN137
Gladiator Beast Charge|MP20-EN193
Gleipnir, the Fetters of Fenrir|BATT-EN011
Graceful Tear|MP17-EN045
Graceful Tear|SHVI-EN080
Grave Lure|DR3-EN236
Grave Lure|TLM-EN056
Gravedigger's Trap Hole|SDBT-EN033
Gravedigger's Trap Hole|MP21-EN086
Gravedigger's Trap Hole|ETCO-EN078
Gravelstorm|SGX1-ENF19
Gravelstorm|GENF-EN080
Graverobber|PSV-EN008
Graverobber|DB1-EN072
Graverobber|PSV-008
Graydle Split|DOCS-EN075
Grinning Grave Virus|SR06-EN030
Grisaille Prison|FUEN-EN059
Grisaille Prison|SHSP-EN078
Gryphon Wing|OP15-EN013
Gryphon Wing|LCJW-EN110
Gryphon Wing|SDP-050
Guard Go!|WSUP-EN029
Guard Mines|DP11-EN028
Guard Mines|TSHD-EN067
Guardragon Cataclysm|MP20-EN032
Guardragon Cataclysm|SAST-EN073
Gunkan Suship Daily Special|MP22-EN169
Gunkan Suship Daily Special|DAMA-EN074
Gust|PSV-EN017
Gust|PSV-017
Half Counter|SGX3-END20
Half Counter|BP02-EN207
Half Counter|BP02-EN207
Half Counter|STBL-EN070
Half or Nothing|BP02-EN201
Half or Nothing|BP02-EN201
Half or Nothing|BP01-EN101
Half or Nothing|BP01-EN101
Half or Nothing|CRMS-EN067
Half Unbreak|MP16-EN040
Half Unbreak|CROS-EN090
Halfway to Forever|LED6-EN044
Halfway to Forever|DUSA-EN040
Hallowed Life Barrier|SGX1-ENE18
Hallowed Life Barrier|DR3-EN060
Hallowed Life Barrier|SOD-EN060
Hallowed Life Barrier|SOD-EN060
Harpie Lady Elegance|LDS2-EN089
Harpie Lady Elegance|LED4-EN005
Harpie's Feather Storm|RA01-EN073
Harpie's Feather Storm|RA01-EN073
Harpie's Feather Storm|RA01-EN073
Harpie's Feather Storm|RA01-EN073
Harpie's Feather Storm|RA01-EN073
Harpie's Feather Storm|RA01-EN073
Harpie's Feather Storm|RA01-EN073
Harpie's Feather Storm|LDS2-EN088
Harpie's Feather Storm|LED4-EN000
Harpie's Feather Storm|DUSA-EN027
Hate Buster|BP03-EN205
Hate Buster|BP03-EN205
Hate Buster|DT04-EN097
Hate Buster|PTDN-EN066
Hatsugai|CYAC-EN080
Haunted Shrine|STP3-EN030
Haunted Shrine|SBTK-EN043
Haunted Shrine|SR07-EN035
Haunted Zombies|MP23-EN106
Haunted Zombies|DIFO-EN076
Heartfelt Appeal|SP13-EN036
Heartfelt Appeal|SP13-EN036
Heartfelt Appeal|YS12-EN029
Heartfelt Appeal|PHSW-EN063
Heavy Slump|MYFI-EN059
Heavy Slump|AP03-EN026
Heavy Slump|DR3-EN054
Heavy Slump|SOD-EN054
Heavy Storm Duster|SDFC-EN039
Heavy Storm Duster|DUDE-EN050
Heavy Storm Duster|MP18-EN086
Heavy Storm Duster|COTD-EN076
Heraldry Change|CBLZ-EN070
Hero Barrier|LCGX-EN108
Hero Barrier|DR04-EN109
Hero Barrier|DP03-EN027
Hero Barrier|EEN-EN049
Hero Barrier|EEN-EN049
Hero Blast|SDHS-EN036
Hero Blast|RYMP-EN032
Hero Blast|LCGX-EN120
Hero Blast|LODT-EN064
Hero Counterattack|SGX2-ENA20
Hero Counterattack|LCGX-EN118
Hero Counterattack|DP06-EN023
Hero Counterattack|TAEV-EN064
Hero Medal|DP06-EN021
Hero Medal|STON-EN050
Hero Medal|STON-EN050
Hero Ring|SGX2-ENA19
Hero Ring|LCGX-EN110
Hero Ring|GX1-EN003
Hero Signal|SGX3-ENA18
Hero Signal|SGX2-ENA18
Hero Signal|LDS3-EN115
Hero Signal|SGX1-ENA20
Hero Signal|SDHS-EN035
Hero Signal|RYMP-EN031
Hero Signal|LCGX-EN107
Hero Signal|DR3-EN229
Hero Signal|DP1-EN028
Hero Signal|TLM-EN049
Hero Signal|TLM-EN049
Hero Spirit|LCGX-EN117
Hero Spirit|DPK-ENSE3
Heroic Advance|ABYR-EN069
Heroic Gift|ABYR-EN068
Heroic Retribution Sword|REDU-EN068
Hi-Five the Sky|WSUP-EN030
Hidden Soldiers|LCYW-EN146
Hidden Soldiers|SP02-EN003
Hidden Spellbook|DR1-EN154
Hidden Spellbook|MFC-099
Hope for Escape|SDPD-EN040
Icarus Attack|BATT-EN004
Infinite Impermanence|OP17-EN002
Jelly Cannon|MP20-EN197
Judgment of the Pharaoh|JMP-EN008
Lightforce Sword|YGLD-ENB37
Magic Cylinder|YGLD-ENB35
Magic Cylinder|YS15-ENF22
Magic Cylinder|YS15-ENL23
Magic Cylinder|YS15-END17
Magician's Circle|YGLD-ENC37
Marincess Cascade|MP20-EN190
Marincess Current|MP20-EN134
Marincess Snow|MP20-EN189
Marincess Wave|MP20-EN133
Mask of Weakness|YS15-END19
Mementotlan Fracture Dance|VASM-EN011
Memory Loss|BPW2-EN096
Memory Loss|WGRT-EN096
Miracle Restoring|YGLD-ENC40
Mirror Force|YS15-ENF21
Mirror Force|YS15-ENL22
Mirror Force|YS15-END16
Muko|DR3-EN057
Muko|SOD-EN057
Muko|SOD-EN057
Needle Ceiling|BPW2-EN081
Needle Ceiling|WGRT-EN081
Nitwit Outwit|BPW2-EN092
Nitwit Outwit|WGRT-EN092
Nordic Relic Brisingamen|BPW2-EN088
Nordic Relic Brisingamen|WGRT-EN088
Nordic Relic Laevateinn|BPW2-EN089
Nordic Relic Laevateinn|WGRT-EN089
Peaceful Burial|MP20-EN196
Pikeru's Second Sight|DR3-EN230
Pikeru's Second Sight|TLM-EN050
Pineapple Blast|BPW2-EN082
Pineapple Blast|WGRT-EN082
Pinpoint Guard|YS15-ENY18
Reverse Glasses|BPW2-EN098
Reverse Glasses|WGRT-EN098
Ring of Destruction|DPKB-EN036
Shift|YGLD-ENA40
Shift|BPW2-EN079
Shift|WGRT-EN079
Soul Rope|YGLD-ENB39
Spin Turn|MP20-EN218
Storm Dragon's Return|MP20-EN138
Subterror Succession|MP20-EN033
Supernatural Regeneration|CRMS-EN077
That Wacky Alchemy!|BPW2-EN095
That Wacky Alchemy!|WGRT-EN095
The Return to the Normal|MP20-EN136
Time Thief Flyback|MP20-EN042
Tragedy|YGLD-ENB40
Trap Hole|YS15-ENY17
Traptrix Trap Hole Nightmare|AP06-EN003
White Howling|MP20-EN143
Witch's Strike|MP20-EN035
Witchcrafter Masterpiece|MP20-EN231
World Legacy Cliffhanger|MP20-EN082
You're in Danger!|MP20-EN087
Call of the Haunted|YS15-END20
Call of the Haunted|YS15-ENY19
Crackdown|MP20-EN084
Crusher Run|MP20-EN195
Dark Factory of More Production|MP20-EN034
Dark Smog|ABYR-ENSE2
Dwimmered Glimmer|MP20-EN139
Evil Eye Mesmerism|MP20-EN243
Fiendish Chain|AP08-EN003
Gladiator Naumachia|MP20-EN194
Guardragon Corewakening|MP20-EN031
Loge's Flame|MP20-EN093
Loop of Destruction|LCKC-EN110
Mementotlan Cranium Burst|VASM-EN012
Raigeki Bottle|BPW2-EN091
Raigeki Bottle|WGRT-EN091
Roar of the Earthbound Immortal|LC5D-EN159
Roar of the Earthbound Immortal|SOVR-EN071
Safe Zone|BPW2-EN103
Safe Zone|WGRT-EN103
Shattered Axe|YGLD-ENC38
Skill Drain|OP19-EN003
Spatial Collapse|IOC-EN051
Spatial Collapse|IOC-EN051
Spellbinding Circle|YGLD-ENB36
Stronghold the Moving Fortress|YGLD-ENC39
Stygian Dirge|LART-EN058
Stygian Dirge|DL16-EN019
Stygian Dirge|SOVR-EN078
The Eye of Truth|YGLD-ENA39
Xyz Veil|GENF-ENSP1
Dark Bribe|BPW2-EN087
Dark Bribe|WGRT-EN087
Evil Eye Retribution|MP20-EN244
Fists of the Unrivaled Tenyi|MP20-EN135
Negate Attack|YS15-ENY20
Riryoku Field|BPW2-EN080
Riryoku Field|WGRT-EN080
Solemn Judgment|OP12-EN003
Solemn Strike|OP04-EN003
